Style,Style DescriptioItnem,Item DescriptioCnolor Color Descr Grid,Size,,,Variant,Made In,Department Gender,,Product FamilyProduct SubgroQutpy,,RRP,,Unit Price,Total Sell,WH Mov. Ref.,Carton No,EAN code,SKU Tariff code,,Unit Weight KG,Total Unit Weight,Material1 Material1 composition,Finish1 Material2,Material2 composition,,Finish2,Material3,,Material3 composition,Finish3,Lining Type,Lining Composition
602669,JAWAN 24044,CALF PLAIN F008 0100 BLACK 51,40.5,,,F,IT,Shoes MENS,,SHOES SANDAL 1,,€4 90.00,,€8 8.20,€88.20,WFCH01/2023/03/1846-1,CH-2022-000100477,7612506348505,623806601264039992,,0.632,0.632,CALF TO:Calf,PLAIN,,,PLAIN,,,,,PELLE,L1:Calf
602669,JAWAN 24044,CALF PLAIN F008 0100 BLACK 51,41,,,F,IT,Shoes MENS,,SHOES SANDAL 1,,€4 90.00,,€8 8.20,€88.20,WFCH01/2023/03/1846-1,CH-2022-000100477,7612506348512,623806601164039992,,0.632,0.632,CALF TO:Calf,PLAIN,,,PLAIN,,,,,PELLE,L1:Calf
602669,JAWAN 24044,CALF PLAIN F008 0100 BLACK 51,42,,,F,IT,Shoes MENS,,SHOES SANDAL 2,,€4 90.00,,€8 8.20,€1 76.40,WFCH01/2023/03/1846-1,CH-2022-000100477,7612506348536,623806600964039992,,0.632,1.264,CALF TO:Calf,PLAIN,,,PLAIN,,,,,PELLE,L1:Calf
602669,JAWAN 24044,CALF PLAIN F008 0100 BLACK 51,43,,,F,IT,Shoes MENS,,SHOES SANDAL 1,,€4 90.00,,€8 8.20,€88.20,WFCH01/2023/03/1846-1,CH-2022-000100477,7612506348550,623806600764039992,,0.632,0.632,CALF TO:Calf,PLAIN,,,PLAIN,,,,,PELLE,L1:Calf
602047,JANELLE S.TH 25361,CALF PLAIN F091 CUERO 21 23,1,,,,IT,Accessories LADIES,,ACC LLG MINIBAG 1,,€790.00,,€1 42.20,€1 42.20,WFCH01/2023/03/1846-2,CH-2022-000100479,7612506332337,623689900142022100,,0.420,0.420,CALF M1:100%Calf,PLAIN CALF,M2:100%Calf,,,,,M3:100%Bovine,,,LN:LI51CO49
597905,L2BA055F-399723481,COTTON SOLIDF181 BONE 50 15,38,,,,IT,Ready to WearLADIES,,RTW CLOTHINGJACKET 1,,"€ 1 ,250.00",,€2 25.00,€2 25.00,WFCH01/2023/03/1846-3,CH-2022-000116337,7612501551146,6233306006 2043211,,0.938,0.938,COTTON M1:Cotton,SOLID,M2:Silk,,,,,M3:63VI37SE,,,L1:52VI48CO
597905,L2BA055F-399723481,COTTON SOLIDF181 BONE 50 15,40,,,,IT,Ready to WearLADIES,,RTW CLOTHINGJACKET 2,,"€ 1 ,250.00",,€2 25.00,€4 50.00,WFCH01/2023/03/1846-3,CH-2022-000116337,7612501551153,623330600562043211,,0.938,1.876,COTTON M1:Cotton,SOLID,M2:Silk,,,,,M3:63VI37SE,,,L1:52VI48CO
597905,L2BA055F-399723481,COTTON SOLIDF181 BONE 50 15,42,,,,IT,Ready to WearLADIES,,RTW CLOTHINGJACKET 1,,"€ 1 ,250.00",,€2 25.00,€2 25.00,WFCH01/2023/03/1846-3,CH-2022-000116337,7612501551160,623330600462043211,,0.938,0.938,COTTON M1:Cotton,SOLID,M2:Silk,,,,,M3:63VI37SE,,,L1:52VI48CO
601440,PAKITO 25322,CALF GRAINEDF516 42800 MIDNIGH3T4 21,5.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€3 80.00,,€6 8.40,€68.40,WFCH01/2023/03/1846-4,CH-2022-000118074,7612506410943,623793903564039992,,0.750,0.750,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
601440,PAKITO 25322,CALF GRAINEDF516 42800 MIDNIGH3T4 21,7,,,F,IT,Shoes MENS,,SHOES DRIVER 2,,€3 80.00,,€6 8.40,€1 36.80,WFCH01/2023/03/1846-4,CH-2022-000118074,7612506410974,623793903264039992,,0.750,1.500,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
601440,PAKITO 25322,CALF GRAINEDF516 42800 MIDNIGH3T4 21,7.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€3 80.00,,€6 8.40,€68.40,WFCH01/2023/03/1846-4,CH-2022-000118074,7612506410981,623793903164039992,,0.750,0.750,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
601440,PAKITO 25322,CALF GRAINEDF516 42800 MIDNIGH3T4 21,8.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€3 80.00,,€6 8.40,€68.40,WFCH01/2023/03/1846-4,CH-2022-000118074,7612506411001,623793902964039992,,0.750,0.750,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
590787,TEISEL.LT.IFL 19412,BOVINE EMBOSFS0E1D0 BLACK 20,1,,,,CN,Accessories MENS,,ACC SLG ID COIN WALLET 60,,€185.00,,€3 3.30,"€1 ,998.00",WFCH01/2023/03/1846-5,CH-2022-000124260,7612510371889,621962800142023100,,0.079,4.740,BOVINE M1:100%Bovine,EMBOSSEBDOVINE,M2:100%Bovine,,EMBOSSED,,,,,,LN:100%Polyester
